"LIF_ID";"FAC_ID";"LIF_QTE";"LIF_REMISE_POURCENT";"LIF_REMISE_MONTANT";"LIF_MONTANT";"LIF_TAUX_TVA"
155;39;1;;;264;20.6
156;41;1;;;330;20.6
157;41;1;;;480;20.6
158;41;1;;;405;20.6
159;41;1;;;330;20.6
160;41;1;;;330;20.6
161;43;1;;;375;20.6
162;43;1;;;480;20.6
163;43;1;;;330;20.6
164;43;1;;;375;20.6
165;45;1;;;375;20.6
166;45;1;;;375;20.6
167;45;1;;;330;20.6
168;45;1;;;480;20.6
169;45;1;;;375;20.6
170;47;1;;;375;20.6
171;47;1;;;360;20.6
172;47;1;;;420;20.6
173;47;2;;;405;20.6
174;48;1;15;;240;18.6
175;48;1;15;;250;18.6
176;48;1;15;;250;18.6
177;50;1;;50;250;18.6
178;50;1;;50;280;18.6
179;50;1;;50;250;18.6
180;52;1;;;220;18.6
181;52;1;;;250;18.6
182;54;1;;;250;18.6
183;54;1;;;280;18.6
184;54;2;;;270;18.6
185;54;1;;;220;18.6
186;56;1;;;220;18.6
187;56;1;;;270;18.6
188;56;1;;;220;18.6
189;58;1;;;280;18.6
190;60;1;;;250;18.6
191;60;1;;;320;18.6
192;60;1;;;220;18.6
193;60;1;;;240;18.6
194;60;1;;;250;18.6
195;62;1;;;270;18.6
196;64;2;;;242;20.6
197;64;2;;;297;20.6
198;66;1;;;352;20.6
199;66;1;;;297;20.6
200;66;1;;;242;20.6
201;66;1;;;242;20.6
202;68;1;;;352;20.6
203;68;1;;;242;20.6
204;68;1;;;275;20.6
205;68;1;;;242;20.6
206;68;1;;;297;20.6
207;70;1;;;242;20.6
208;70;1;;;275;20.6
209;70;1;;;297;20.6
210;49;1;15;;300;20.6
211;49;1;15;;264;20.6
212;49;1;15;;300;20.6
213;51;2;;50;264;20.6
214;51;1;;50;264;20.6
215;51;1;;50;300;20.6
216;51;1;;50;324;20.6
217;51;1;;50;300;20.6
218;53;1;;;384;20.6
219;53;1;;;324;20.6
220;53;1;;;288;20.6
221;53;1;;;264;20.6
222;53;1;;;300;20.6
223;53;2;;;324;20.6
224;55;1;;;384;20.6
225;55;2;;;324;20.6
226;57;1;;;264;20.6
227;57;1;;;264;20.6
228;57;1;;;336;20.6
229;57;1;;;300;20.6
230;57;1;;;384;20.6
231;59;1;;;288;20.6
232;59;1;;;288;20.6
233;59;1;;;264;20.6
234;59;1;;;264;20.6
235;61;1;;;264;20.6
236;61;1;;;384;20.6
237;61;2;;;288;20.6
238;61;1;;;264;20.6
239;63;1;;;384;20.6
240;63;1;;;264;20.6
241;65;1;;;375;20.6
242;67;1;;;375;20.6
243;67;1;;;330;20.6
244;67;1;;;375;20.6
245;69;2;;;375;20.6
246;69;2;;;480;20.6
247;69;1;;;480;20.6
248;71;1;;;330;20.6
249;71;1;;;480;20.6
250;71;1;;;480;20.6
251;71;1;;;375;20.6
252;71;1;;;330;20.6
253;73;1;;50;220;18.6
254;73;1;;50;280;18.6
255;73;2;;50;240;18.6
256;75;1;;;320;18.6
257;77;1;;;220;18.6
258;77;1;;;320;18.6
259;77;2;;;250;18.6
260;77;1;;;220;18.6
261;77;1;;;250;18.6
262;79;1;;;240;18.6
263;79;1;;;220;18.6
264;79;1;;;220;18.6
265;81;1;;;220;18.6
266;81;1;;;220;18.6
267;81;1;;;320;18.6
268;81;1;;;320;18.6
269;81;1;;;240;18.6
270;81;1;;;220;18.6
271;83;1;;;240;18.6
272;85;1;;;220;18.6
273;85;2;;;270;18.6
274;85;2;;;240;18.6
275;85;1;;;220;18.6
276;87;1;;;275;20.6
277;87;1;;;264;20.6
278;87;1;;;352;20.6
279;89;1;;;297;20.6
280;89;1;;;242;20.6
281;91;1;;;242;20.6
282;91;1;;;264;20.6
283;91;1;;;242;20.6
284;93;1;;;352;20.6
285;93;1;;;352;20.6
286;72;1;15;;264;20.6
287;72;1;15;;324;20.6
288;72;1;15;;324;20.6
289;72;1;15;;264;20.6
290;74;1;;50;300;20.6
291;74;1;;50;264;20.6
292;74;1;;50;300;20.6
293;76;1;;;288;20.6
294;76;1;;;264;20.6
295;76;1;;;384;20.6
296;76;1;;;300;20.6
297;78;1;;;384;20.6
298;78;1;;;384;20.6
299;78;1;;;324;20.6
300;80;1;;;264;20.6
301;82;1;;;300;20.6
302;82;1;;;264;20.6
303;82;1;;;300;20.6
304;82;1;;;384;20.6
305;82;1;;;264;20.6
306;84;1;;;264;20.6
307;84;1;;;336;20.6
308;84;1;;;384;20.6
309;84;1;;;288;20.6
310;84;1;;;264;20.6
311;86;1;;;264;20.6
312;86;1;;;384;20.6
313;86;1;;;324;20.6
314;86;1;;;300;20.6
315;88;1;;;360;20.6
316;88;1;;;360;20.6
317;88;1;;;375;20.6
318;88;1;;;375;20.6
319;90;2;;;480;20.6
320;90;1;;;330;20.6
321;90;1;;;375;20.6
322;90;1;;;330;20.6
323;90;2;;;330;20.6
324;92;1;;;375;20.6
325;92;1;;;480;20.6
326;94;1;;;330;20.6
327;94;2;;;480;20.6
328;94;1;;;330;20.6
329;95;1;15;;280;18.6
330;95;1;15;;220;18.6
331;97;1;;50;320;18.6
332;97;1;;50;220;18.6
333;97;1;;50;250;18.6
334;97;1;;50;250;18.6
335;99;1;;;240;18.6
336;99;2;;;220;18.6
337;101;1;;;250;18.6
338;101;1;;;280;18.6
339;101;1;;;320;18.6
340;101;2;;;270;18.6
341;103;1;;;220;18.6
342;103;1;;;220;18.6
343;103;1;;;280;18.6
344;103;1;;;220;18.6
345;103;1;;;220;18.6
346;105;1;;;240;18.6
347;105;2;;;280;18.6
348;105;1;;;220;18.6
349;105;1;;;220;18.6
350;105;2;;;220;18.6
351;107;2;;;250;18.6
352;107;1;;;320;18.6
353;109;1;;;250;18.6
354;109;1;;;220;18.6
355;109;1;;;220;18.6
356;109;1;;;250;18.6
357;111;1;;;275;20.6
358;111;1;;;275;20.6
359;111;1;;;264;20.6
360;111;1;;;275;20.6
361;113;1;;;275;20.6
362;113;1;;;352;20.6
363;113;1;;;264;20.6
364;113;1;;;275;20.6
365;113;1;;;352;20.6
366;113;1;;;352;20.6
367;113;1;;;242;20.6
368;115;1;;;275;20.6
369;115;1;;;242;20.6
370;117;1;;;352;20.6
371;117;1;;;275;20.6
372;96;1;15;;264;20.6
373;96;3;15;;324;20.6
374;98;1;;50;384;20.6
375;98;1;;50;300;20.6
376;98;1;;50;324;20.6
377;100;1;;;264;20.6
378;100;1;;;264;20.6
379;100;1;;;288;20.6
380;100;1;;;264;20.6
381;100;1;;;324;20.6
382;102;1;;;324;20.6
383;102;1;;;264;20.6
384;104;1;;;300;20.6
385;104;1;;;288;20.6
386;104;1;;;264;20.6
387;104;1;;;336;20.6
388;104;1;;;300;20.6
389;104;1;;;384;20.6
390;104;1;;;384;20.6
391;104;1;;;264;20.6
392;104;1;;;300;20.6
393;106;1;;;264;20.6
394;106;1;;;300;20.6
395;108;1;;;264;20.6
396;108;1;;;300;20.6
397;108;1;;;384;20.6
398;108;3;;;300;20.6
399;108;1;;;264;20.6
400;110;1;;;336;20.6
401;110;1;;;264;20.6
402;112;1;;;480;20.6
403;112;1;;;480;20.6
404;112;1;;;330;20.6
405;114;1;;;375;20.6
406;114;1;;;330;20.6
407;116;1;;;480;20.6
408;116;1;;;480;20.6
409;116;1;;;375;20.6
410;116;1;;;405;20.6
411;118;1;;;375;20.6
412;118;1;;;375;20.6
413;118;1;;;405;20.6
414;118;1;;;330;20.6
415;118;1;;;330;20.6
416;119;1;15;;220;18.6
417;119;1;15;;250;18.6
418;121;1;;50;220;18.6
419;121;1;;50;320;18.6
420;121;1;;50;220;18.6
421;123;1;;;240;18.6
422;123;2;;;250;18.6
423;123;1;;;240;18.6
424;125;1;;;250;18.6
425;125;1;;;220;18.6
426;127;1;;;250;18.6
427;127;1;;;250;18.6
428;127;1;;;220;18.6
429;127;1;;;280;18.6
430;127;1;;;240;18.6
431;129;1;;;320;18.6
432;129;1;;;220;18.6
433;129;1;;;250;18.6
434;129;1;;;220;18.6
435;129;1;;;220;18.6
436;131;1;;;220;18.6
437;131;1;;;220;18.6
438;131;1;;;280;18.6
439;131;2;;;320;18.6
440;131;2;;;270;18.6
441;131;1;;;220;18.6
442;133;1;;;240;18.6
443;133;1;;;320;18.6
444;133;1;;;320;18.6
445;135;1;;;275;20.6
446;135;1;;;297;20.6
447;135;1;;;242;20.6
448;137;1;;;242;20.6
449;137;1;;;308;20.6
450;137;1;;;242;20.6
451;139;2;;;242;20.6
452;139;1;;;275;20.6
453;139;1;;;352;20.6
454;139;1;;;242;20.6
455;141;1;;;242;20.6
456;141;1;;;242;20.6
457;141;1;;;275;20.6
458;120;1;15;;300;20.6
459;120;1;15;;384;20.6
460;120;1;15;;288;20.6
461;120;2;15;;324;20.6
462;122;1;;50;336;20.6
463;124;1;;;384;20.6
464;126;1;;;264;20.6
465;128;1;;;264;20.6
466;128;2;;;264;20.6
467;128;1;;;324;20.6
468;130;1;;;264;20.6
469;130;1;;;264;20.6
470;130;1;;;264;20.6
471;132;1;;;384;20.6
472;132;1;;;336;20.6
473;132;2;;;324;20.6
474;132;2;;;324;20.6
475;132;1;;;264;20.6
476;134;1;;;264;20.6
477;134;1;;;264;20.6
478;134;1;;;288;20.6
479;134;1;;;300;20.6
480;134;1;;;300;20.6
481;136;1;;;375;20.6
482;136;1;;;360;20.6
483;136;1;;;480;20.6
484;136;1;;;480;20.6
485;136;1;;;375;20.6
486;138;1;;;375;20.6
487;138;1;;;360;20.6
488;138;1;;;375;20.6
489;138;2;;;480;20.6
490;138;1;;;480;20.6
491;138;1;;;360;20.6
492;138;1;;;330;20.6
493;138;1;;;375;20.6
494;140;1;;;330;20.6
495;140;1;;;405;20.6
496;140;2;;;360;20.6
497;140;1;;;330;20.6
498;142;1;;;375;20.6
499;142;1;;;375;20.6
500;142;1;;;480;20.6
501;142;1;;;405;20.6
502;143;1;15;;320;18.6
503;143;1;15;;250;18.6
504;143;1;15;;220;18.6
505;143;1;15;;280;18.6
506;143;1;15;;250;18.6
507;143;1;15;;220;18.6
508;143;1;15;;250;18.6
509;143;1;15;;220;18.6
510;145;1;;50;220;18.6
511;145;1;;50;320;18.6
512;145;1;;50;220;18.6
513;147;1;;;250;18.6
514;147;1;;;220;18.6
515;147;1;;;250;18.6
516;147;1;;;320;18.6
517;147;1;;;270;18.6
518;149;1;;;220;18.6
519;149;1;;;320;18.6
520;149;1;;;250;18.6
521;151;1;;;220;18.6
522;151;1;;;320;18.6
523;151;1;;;270;18.6
524;151;2;;;220;18.6
525;153;1;;;280;18.6
526;153;1;;;320;18.6
527;155;1;;;220;18.6
528;155;1;;;220;18.6
529;155;1;;;320;18.6
530;155;2;;;220;18.6
531;155;1;;;250;18.6
532;157;1;;;250;18.6
533;157;1;;;320;18.6
534;157;1;;;250;18.6
535;159;1;;;242;20.6
536;159;1;;;275;20.6
537;159;1;;;275;20.6
538;159;1;;;242;20.6
539;161;1;;;242;20.6
540;161;1;;;275;20.6
541;161;1;;;352;20.6
542;161;1;;;275;20.6
543;161;1;;;297;20.6
544;163;1;;;352;20.6
545;163;1;;;297;20.6
546;165;1;;;264;20.6
547;165;1;;;308;20.6
548;165;2;;;352;20.6
549;165;1;;;297;20.6
550;144;1;15;;384;20.6
551;144;1;15;;264;20.6
552;144;1;15;;288;20.6
553;144;2;15;;264;20.6
554;144;1;15;;300;20.6
555;146;1;;50;264;20.6
556;146;1;;50;300;20.6
557;148;2;;;264;20.6
558;148;1;;;300;20.6
559;148;1;;;384;20.6
560;148;1;;;324;20.6
561;148;1;;;300;20.6
562;150;1;;;288;20.6
563;152;1;;;264;20.6
564;152;1;;;384;20.6
565;152;1;;;264;20.6
566;154;1;;;264;20.6
567;156;1;;;300;20.6
568;156;1;;;264;20.6
569;156;1;;;336;20.6
570;156;1;;;384;20.6
571;156;2;;;264;20.6
572;156;1;;;264;20.6
573;158;1;;;300;20.6
574;158;1;;;300;20.6
575;158;1;;;384;20.6
576;158;1;;;264;20.6
577;158;1;;;300;20.6
578;160;1;;;375;20.6
579;160;1;;;330;20.6
580;160;1;;;480;20.6
581;160;3;;;375;20.6
582;160;1;;;330;20.6
583;162;1;;;360;20.6
584;162;1;;;420;20.6
585;162;1;;;405;20.6
586;162;1;;;405;20.6
587;164;1;;;375;20.6
588;164;1;;;375;20.6
589;164;1;;;480;20.6
590;164;1;;;330;20.6
591;166;1;;;480;20.6
592;166;1;;;360;20.6
593;166;2;;;330;20.6
594;166;1;;;375;20.6
595;166;1;;;330;20.6
596;167;1;15;;280;18.6
597;169;1;;50;250;18.6
598;169;1;;50;320;18.6
599;169;1;;50;270;18.6
600;169;1;;50;220;18.6
601;169;1;;50;220;18.6
602;171;1;;;250;18.6
603;171;1;;;270;18.6
604;171;1;;;250;18.6
605;173;1;;;220;18.6
606;173;1;;;250;18.6
607;173;1;;;270;18.6
608;175;1;;;220;18.6
609;175;1;;;320;18.6
610;175;1;;;220;18.6
611;175;1;;;250;18.6
612;177;1;;;270;18.6
613;179;1;;;240;18.6
614;179;1;;;220;18.6
615;179;1;;;220;18.6
616;181;1;;;250;18.6
617;181;1;;;320;18.6
618;181;1;;;250;18.6
619;183;1;;;275;20.6
620;183;1;;;275;20.6
621;183;2;;;242;20.6
622;183;1;;;242;20.6
623;185;1;;;275;20.6
624;185;1;;;275;20.6
625;185;1;;;242;20.6
626;185;2;;;275;20.6
627;185;1;;;242;20.6
628;187;1;;;242;20.6
629;187;1;;;242;20.6
630;187;1;;;308;20.6
631;187;1;;;264;20.6
632;187;1;;;242;20.6
633;189;1;;;275;20.6
634;189;2;;;352;20.6
635;189;1;;;275;20.6
636;189;1;;;264;20.6
637;189;1;;;275;20.6
638;168;1;15;;288;20.6
639;168;2;15;;300;20.6
640;168;1;15;;324;20.6
641;170;1;;50;300;20.6
642;170;1;;50;384;20.6
643;170;1;;50;300;20.6
644;170;1;;50;324;20.6
645;172;1;;;288;20.6
646;172;1;;;384;20.6
647;172;1;;;300;20.6
648;174;1;;;300;20.6
649;174;1;;;300;20.6
650;174;1;;;324;20.6
651;174;1;;;300;20.6
652;174;1;;;324;20.6
653;174;2;;;264;20.6
654;176;2;;;384;20.6
655;176;1;;;288;20.6
656;176;1;;;384;20.6
657;176;1;;;288;20.6
658;176;1;;;264;20.6
659;178;1;;;264;20.6
660;178;1;;;300;20.6
661;178;1;;;264;20.6
662;178;2;;;384;20.6
663;178;1;;;264;20.6
664;178;1;;;300;20.6
665;180;1;;;264;20.6
666;182;1;;;264;20.6
667;182;1;;;264;20.6
668;182;1;;;264;20.6
669;184;2;;;480;20.6
670;184;1;;;360;20.6
671;184;1;;;375;20.6
672;186;1;;;375;20.6
673;186;1;;;360;20.6
674;186;1;;;330;20.6
675;186;1;;;360;20.6
676;188;1;;;330;20.6
677;188;1;;;405;20.6
678;190;2;;;330;20.6
679;191;1;15;;220;18.6
680;191;1;15;;220;18.6
681;191;1;15;;270;18.6
682;191;1;15;;220;18.6
683;191;1;15;;250;18.6
684;193;1;;50;250;18.6
685;193;1;;50;320;18.6
686;193;1;;50;220;18.6
687;193;1;;50;220;18.6
688;195;1;;;250;18.6
689;195;1;;;220;18.6
690;195;2;;;220;18.6
691;195;1;;;280;18.6
692;195;1;;;250;18.6
693;195;1;;;270;18.6
694;195;1;;;220;18.6
695;195;1;;;250;18.6
696;197;1;;;240;18.6
697;197;1;;;250;18.6
698;197;1;;;220;18.6
699;197;2;;;270;18.6
700;199;1;;;320;18.6
701;199;1;;;220;18.6
702;199;1;;;280;18.6
703;199;1;;;320;18.6
704;201;1;;;250;18.6
705;201;1;;;320;18.6
706;201;1;;;270;18.6
707;203;1;;;220;18.6
708;203;1;;;320;18.6
709;203;1;;;240;18.6
710;205;2;;;320;18.6
711;205;1;;;270;18.6
712;207;2;;;242;20.6
713;207;1;;;352;20.6
714;207;1;;;264;20.6
715;209;1;;;242;20.6
716;209;1;;;242;20.6
717;209;1;;;352;20.6
718;211;1;;;242;20.6
719;211;1;;;275;20.6
720;211;1;;;242;20.6
721;211;1;;;275;20.6
722;213;1;;;352;20.6
723;213;1;;;242;20.6
724;213;1;;;264;20.6
725;213;1;;;275;20.6
726;213;1;;;352;20.6
727;213;1;;;297;20.6
728;213;1;;;264;20.6
729;192;1;15;;300;20.6
730;192;1;15;;288;20.6
731;192;1;15;;384;20.6
732;194;1;;50;264;20.6
733;194;1;;50;264;20.6
734;194;1;;50;264;20.6
735;196;1;;;264;20.6
736;196;1;;;324;20.6
737;198;1;;;384;20.6
738;198;1;;;384;20.6
739;200;2;;;300;20.6
740;200;2;;;264;20.6
741;202;1;;;324;20.6
742;202;2;;;264;20.6
743;202;1;;;264;20.6
744;202;1;;;264;20.6
745;204;1;;;336;20.6
746;204;1;;;324;20.6
747;204;1;;;300;20.6
748;206;1;;;384;20.6
749;206;1;;;336;20.6
750;206;1;;;288;20.6
751;206;1;;;324;20.6
752;208;1;;;405;20.6
753;208;1;;;375;20.6
754;208;1;;;330;20.6
755;210;1;;;330;20.6
756;210;1;;;360;20.6
757;210;1;;;420;20.6
758;210;1;;;375;20.6
759;210;1;;;405;20.6
760;212;1;;;360;20.6
761;212;1;;;330;20.6
762;212;1;;;420;20.6
763;212;1;;;480;20.6
764;212;1;;;480;20.6
765;214;1;;;360;20.6
766;214;1;;;330;20.6
767;214;1;;;480;20.6
768;214;1;;;330;20.6
769;214;1;;;330;20.6
770;215;1;15;;220;18.6
771;215;1;15;;280;18.6
772;215;1;15;;320;18.6
773;215;1;15;;240;18.6
774;215;1;15;;220;18.6
775;215;1;15;;220;18.6
776;217;1;;50;220;18.6
777;217;2;;50;240;18.6
778;217;1;;50;270;18.6
779;217;1;;50;250;18.6
780;219;1;;;320;18.6
781;219;1;;;270;18.6
782;221;1;;;320;18.6
783;221;1;;;250;18.6
784;223;1;;;250;18.6
785;223;1;;;250;18.6
786;223;1;;;280;18.6
787;223;1;;;270;18.6
788;223;1;;;250;18.6
789;225;1;;;250;18.6
790;227;2;;;220;18.6
791;227;1;;;250;18.6
792;227;1;;;250;18.6
793;227;1;;;270;18.6
794;229;1;;;320;18.6
795;229;1;;;320;18.6
796;229;1;;;240;18.6
797;231;1;;;352;20.6
798;231;1;;;297;20.6
799;231;1;;;242;20.6
800;233;1;;;352;20.6
801;233;1;;;275;20.6
802;233;1;;;352;20.6
803;233;1;;;264;20.6
804;233;1;;;242;20.6
805;233;1;;;297;20.6
806;233;1;;;242;20.6
807;235;1;;;297;20.6
808;235;1;;;242;20.6
809;237;1;;;242;20.6
810;237;2;;;242;20.6
811;237;1;;;275;20.6
812;237;1;;;242;20.6
813;216;1;15;;324;20.6
814;216;1;15;;264;20.6
815;216;1;15;;264;20.6
816;218;1;;50;300;20.6
817;220;1;;;336;20.6
818;220;2;;;300;20.6
819;222;1;;;288;20.6
820;222;1;;;384;20.6
821;222;1;;;324;20.6
822;224;1;;;300;20.6
823;224;1;;;264;20.6
824;224;1;;;300;20.6
825;224;2;;;324;20.6
826;224;1;;;300;20.6
827;224;1;;;264;20.6
828;226;1;;;264;20.6
829;226;1;;;324;20.6
830;226;1;;;300;20.6
831;228;1;;;300;20.6
832;228;1;;;324;20.6
833;230;2;;;288;20.6
834;230;1;;;324;20.6
835;230;1;;;264;20.6
836;230;1;;;264;20.6
837;232;1;;;375;20.6
838;232;1;;;375;20.6
839;234;1;;;330;20.6
840;234;1;;;360;20.6
841;234;2;;;375;20.6
842;234;1;;;480;20.6
843;234;1;;;375;20.6
844;236;1;;;375;20.6
845;236;1;;;405;20.6
846;236;1;;;330;20.6
847;236;1;;;405;20.6
848;236;1;;;330;20.6
849;238;1;;;360;20.6
850;238;1;;;330;20.6
851;238;1;;;480;20.6
852;238;1;;;480;20.6
853;238;1;;;375;20.6
854;239;1;15;;320;18.6
855;239;1;15;;220;18.6
856;241;1;;50;270;18.6
857;241;1;;50;250;18.6
858;241;1;;50;220;18.6
859;243;1;;;250;18.6
860;243;1;;;250;18.6
861;243;1;;;270;18.6
862;243;2;;;220;18.6
863;243;1;;;250;18.6
864;245;1;;;220;18.6
865;247;1;;;220;18.6
866;247;1;;;250;18.6
867;247;2;;;250;18.6
868;249;1;;;220;18.6
869;249;1;;;250;18.6
870;249;1;;;240;18.6
871;249;1;;;220;18.6
872;249;1;;;220;18.6
873;251;1;;;250;18.6
874;251;1;;;220;18.6
875;251;1;;;250;18.6
876;251;1;;;270;18.6
877;251;1;;;250;18.6
878;253;1;;;250;18.6
879;253;1;;;320;18.6
880;253;1;;;250;18.6
881;253;1;;;220;18.6
882;253;1;;;270;18.6
883;253;1;;;220;18.6
884;255;1;;;242;20.6
885;255;1;;;352;20.6
886;255;2;;;264;20.6
887;255;2;;;352;20.6
888;255;1;;;275;20.6
889;255;1;;;297;20.6
890;255;1;;;275;20.6
891;257;3;;;242;20.6
892;257;1;;;264;20.6
893;257;1;;;297;20.6
894;259;1;;;352;20.6
895;259;1;;;264;20.6
896;259;1;;;275;20.6
897;259;1;;;308;20.6
898;259;1;;;352;20.6
899;259;2;;;242;20.6
900;261;1;;;264;20.6
901;261;1;;;308;20.6
902;240;1;15;;336;20.6
903;240;1;15;;324;20.6
904;240;2;15;;300;20.6
905;242;1;;50;384;20.6
906;242;1;;50;300;20.6
907;244;1;;;288;20.6
908;244;1;;;264;20.6
909;244;1;;;300;20.6
910;244;1;;;264;20.6
911;244;1;;;300;20.6
912;246;1;;;264;20.6
913;246;1;;;264;20.6
914;246;2;;;336;20.6
915;246;1;;;264;20.6
916;246;1;;;264;20.6
917;248;1;;;384;20.6
918;248;1;;;384;20.6
919;248;1;;;264;20.6
920;250;1;;;264;20.6
921;250;1;;;288;20.6
922;252;1;;;288;20.6
923;252;1;;;300;20.6
924;252;1;;;264;20.6
925;254;1;;;384;20.6
926;254;1;;;300;20.6
927;256;1;;;375;20.6
928;256;1;;;375;20.6
929;258;1;;;375;20.6
930;258;1;;;375;20.6
931;260;1;;;330;20.6
932;260;2;;;420;20.6
933;260;1;;;480;20.6
934;260;1;;;330;20.6
935;260;2;;;375;20.6
936;262;2;;;375;20.6
937;262;2;;;330;20.6
938;262;1;;;420;20.6
939;262;2;;;360;20.6
940;262;1;;;375;20.6
941;263;1;15;;250;18.6
942;263;1;15;;250;18.6
943;263;1;15;;270;18.6
944;265;1;;50;220;18.6
945;265;2;;50;220;18.6
946;265;1;;50;250;18.6
947;265;2;;50;220;18.6
948;267;1;;;240;18.6
949;267;1;;;240;18.6
950;267;1;;;220;18.6
951;269;1;;;250;18.6
952;269;1;;;320;18.6
953;271;1;;;320;18.6
954;271;1;;;240;18.6
955;271;1;;;220;18.6
956;271;1;;;270;18.6
957;273;1;;;240;18.6
958;273;1;;;220;18.6
959;273;1;;;250;18.6
960;273;1;;;250;18.6
961;275;1;;;220;18.6
962;275;1;;;270;18.6
963;275;1;;;220;18.6
964;275;1;;;250;18.6
965;277;1;;;220;18.6
966;277;1;;;220;18.6
967;277;1;;;220;18.6
968;279;1;;;352;20.6
969;279;1;;;297;20.6
970;279;1;;;242;20.6
971;281;1;;;275;20.6
972;283;1;;;275;20.6
973;283;1;;;308;20.6
974;285;1;;;242;20.6
975;285;2;;;264;20.6
976;285;1;;;275;20.6
977;285;1;;;242;20.6
